"asset_id","filename","relative_path","category","format","dimensions","original_source","source_url","post_date_or_signal","source_context","people_shown","residential_or_commercial","service_work_shown","location","approximate_quality","possible_future_website_use","notes","duplicate_or_source_relationships","sha256"
"FB-BRAND-001","d2cfe3d30021114f.jpg","01-brand/logo/d2cfe3d30021114f.jpg","logo","JPEG","960x765","Facebook profile photo","https://www.facebook.com/photo/?fbid=122100695745229345&set=a.122100621585229345","Not shown","Facebook profile/logo image","None","Brand","Logo / identity","Not applicable","Good; clean source but substantial white space","Header/footer logo reference; brand guide; favicon/source-art review","Downloaded displayed original untouched. Facebook CDN original name: 621889696_122100695757229345_7872458200007321783_n.jpg.","Related alternate logo/cover composition: FB-BRAND-002","7B89215A6BB2F33614F022D8DB0E30B89E741A6CDA6813EF1FBB07346E14BA24"
"FB-BRAND-002","72a6e33d656a31b7.jpg","01-brand/branded-graphics/72a6e33d656a31b7.jpg","branded graphic","JPEG","1280x1024","Facebook cover photo","https://www.facebook.com/photo/?fbid=122100622113229345&set=a.122100622137229345","Not shown","Facebook cover image using full logo lockup","None","Brand","Logo / identity","Not applicable","Good; larger alternate composition with white space","Brand reference; social cover; alternate full logo lockup","Downloaded displayed original untouched. Facebook CDN original name: 621188686_10111142465521937_8375564866498622980_n.jpg.","Related alternate logo/profile composition: FB-BRAND-001","EB40577B4B7E33B2FD067AADAD5859E05911CC98050299417963D293A42FC9AF"
"FB-COM-001","de10edce873eadda.jpg","05-commercial-work/repairs/de10edce873eadda.jpg","commercial repair","JPEG","1536x2048","Facebook photo","https://www.facebook.com/photo.php?fbid=122130517191229345&set=pb.61586880370088.-2207520000&type=3","Displayed 2d on 2026-08-11 crawl; normalized approx. 2026-08-09","Commercial rooftop/package-unit motor work; location tag only","Technician, face obscured; possibly Chance Ferguson, unconfirmed","Commercial","Motor replacement / rooftop HVAC repair","Chesapeake, VA (Facebook tag)","Very good; high-resolution vertical documentary photo","Commercial repair service page; technician-at-work section; case-study detail","Facebook auto-alt incorrectly suggested water heater. Visual classification used. Original CDN name: 769324469_122130517491229345_590538701364071475_n.jpg.","Same Facebook album/date/location group as FB-COM-002, FB-RES-MNT-001, FB-EQP-001, FB-RES-MNT-002","14801025D06700BE4F491C4BC5E1C0023ECB9E5CE39DF59AC09809B6864C4B30"
"FB-COM-002","837a8ddcef761c7b.jpg","05-commercial-work/repairs/837a8ddcef761c7b.jpg","commercial repair","JPEG","1536x2048","Facebook photo","https://www.facebook.com/photo.php?fbid=122130517155229345&set=pb.61586880370088.-2207520000&type=3","Displayed 2d on 2026-08-11 crawl; normalized approx. 2026-08-09","Walk-in cooler/beverage storage room with multiple evaporators","None","Commercial","Commercial refrigeration inspection/repair context","Chesapeake, VA (Facebook tag); specific business unknown","Very good; high-resolution vertical environmental photo","Commercial refrigeration page; capability proof; local-business service story","Specific customer/site and relationship to Las Gaviotas are not confirmed. Original CDN name: 769458551_122130517479229345_4586623411774796565_n.jpg.","Same Facebook album/date/location group as FB-COM-001, FB-RES-MNT-001, FB-EQP-001, FB-RES-MNT-002","1E5D1056B851CF38718CF21D8FB693AD361D4145A1EE3DC9D2DD8DED69427849"
"FB-RES-MNT-001","408a9080aa654d07.jpg","04-residential-work/maintenance/408a9080aa654d07.jpg","residential maintenance","JPEG","1153x2048","Facebook photo","https://www.facebook.com/photo.php?fbid=122130516573229345&set=pb.61586880370088.-2207520000&type=3","Displayed 2d on 2026-08-11 crawl; normalized approx. 2026-08-09","Technician washing/cleaning an outdoor condenser","Young technician, unidentified","Residential","Condenser cleaning / preventive maintenance","Chesapeake, VA (Facebook tag)","Very good; high-resolution vertical action photo","Maintenance service page; technician-at-work; trust imagery","Original CDN name: 768844438_122130517053229345_7815883432756406262_n.jpg.","Same maintenance job/subject as FB-RES-MNT-002 and likely FB-EQP-001","24044DE7BD83C44EE20D6332A0CBEC6C579F534F7834C0CB67D791C14CD0A5C7"
"FB-EQP-001","480f1046b2fa5df2.jpg","06-equipment-closeups/480f1046b2fa5df2.jpg","equipment close-up","JPEG","1153x2048","Facebook photo","https://www.facebook.com/photo.php?fbid=122130516525229345&set=pb.61586880370088.-2207520000&type=3","Displayed 2d on 2026-08-11 crawl; normalized approx. 2026-08-09","Open outdoor condenser electrical/control compartment","None","Residential","Electrical diagnostics / repair detail","Chesapeake, VA (Facebook tag)","Very good; high-resolution close-up","Repair-detail section; educational content; diagnostics article","Original CDN name: 767190423_122130517017229345_5522844914835218150_n.jpg.","Likely same residential maintenance/repair job as FB-RES-MNT-001 and FB-RES-MNT-002","8E6226FD0EFA012879608BA5E91736F588E5AF09900CD0EB532E1DFCC0CD95AE"
"FB-RES-MNT-002","9186bc7cb27db07e.jpg","04-residential-work/maintenance/9186bc7cb27db07e.jpg","residential maintenance","JPEG","2048x1153","Facebook photo","https://www.facebook.com/photo.php?fbid=122130516495229345&set=pb.61586880370088.-2207520000&type=3","Displayed 2d on 2026-08-11 crawl; normalized approx. 2026-08-09","Wide view of technician cleaning an outdoor condenser","Young technician, unidentified","Residential","Condenser cleaning / preventive maintenance","Chesapeake, VA (Facebook tag)","Very good; high-resolution landscape action photo","Maintenance-page hero/banner candidate; technician-at-work; process section","Original CDN name: 766674701_122130517029229345_2046755125913550170_n.jpg.","Same maintenance job/subject as FB-RES-MNT-001 and likely FB-EQP-001","E209C3D4AF101044AF2CE74FE8C5D3E896FB2141A5920BE12301F29EAC37F170"
"FB-SOC-001","0cf19a437907cd0d.jpg","09-social-graphics/0cf19a437907cd0d.jpg","promotional graphic","JPEG","1206x859","Facebook photo","https://www.facebook.com/photo.php?fbid=122130300879229345&set=pb.61586880370088.-2207520000&type=3","Displayed 5d on 2026-08-11 crawl; normalized approx. 2026-08-06","Post text: Keep your eyes peeled; you'll see this advertisement floating around","Promotional superhero likeness; identity likely Chance, unconfirmed","Brand / promotional","General HVAC promotion","Not stated","Good resolution; text-heavy composite","Social archive; brand-history reference; campaign reuse only after content review","FLAGGED: promotional composite, not documentary photography; visible text/phone/email should be proofread before reuse. Original CDN name: 764855287_122130300885229345_3046565702130412290_n.jpg.","Related campaign style: GB-SOC-003; uses same brand system as FB-SOC-002","05F230520BD8B123CE400B6F2134ABCED142BA208482C7F446CC995605CF2760"
"FB-SOC-002","b577da7fd944285b.jpg","09-social-graphics/b577da7fd944285b.jpg","promotional graphic","JPEG","1545x1999","Facebook photo","https://www.facebook.com/photo.php?fbid=122129574819229345&set=pb.61586880370088.-2207520000&type=3","2026-07-30 20:43 (Facebook display)","Post text: Its Here! Share and Comment a friend for a chance to win a FREE clean; limited spots","None","Residential / promotional","Maintenance plan offer","Not stated","Very good resolution; text-heavy flyer","Maintenance-plan campaign archive; offer reference; pricing/history documentation","FLAGGED for content review: promotional claims, pricing, spelling, and terms may be outdated. Preserve untouched. Original CDN name: 758904849_122129574825229345_6473252499861685657_n.jpg.","Related maintenance imagery: FB-RES-MNT-001, FB-RES-MNT-002, FB-RES-MNT-003","15227F8161F9D50FA494C87A7CC7DB78CC3E594DAA7208A7CD07B3D390D47CBB"
"FB-RES-MNT-003","d060c10c4ecd5ec9.jpg","04-residential-work/maintenance/d060c10c4ecd5ec9.jpg","residential maintenance","JPEG","720x960","Facebook photo","https://www.facebook.com/photo.php?fbid=122129316777229345&set=pb.61586880370088.-2207520000&type=3","2026-07-28 22:03 (Facebook display)","Foamy runoff and debris during outdoor condenser cleaning; location tag only","None","Residential","Coil/condenser cleaning process","Chesapeake, VA (Facebook tag)","Moderate; 720x960 close-up","Maintenance-process detail; educational before/during-cleaning content","Ambiguous close-up preserved rather than discarded. Original CDN name: 759746125_122129316783229345_7957194425810640331_n.jpg.","Related maintenance theme: FB-RES-MNT-001, FB-RES-MNT-002, GB-RES-MNT-001, GB-RES-MNT-002, GB-EQP-003","3C3CB25D7D8B9B6C00E3ED0EF704005047BD6E9A4B0AA8B9B5DCB18478C3BF58"
"GB-COM-MNT-001","95bae515691d9461.webp","05-commercial-work/maintenance/95bae515691d9461.webp","commercial maintenance","WebP","765x1020","Google Business photo gallery","https://share.google/6VmLpJkW5oOySqGqF","Displayed '1 week ago' on 2026-08-11 crawl; approx. 2026-08-04","Owner-uploaded rooftop package unit with used and replacement filters/tools","None","Commercial","Filter change / rooftop-unit maintenance","Business profile service area; exact site unknown","Good displayed source; 765x1020","Commercial maintenance page; rooftop service capability; process imagery","Google contributor shown as Ferguson & Sons Mechanical LLC. Source file preserved without extension as delivered.","Likely same commercial rooftop job set as GB-COM-REP-001, GB-TEAM-002, GB-VEH-001 and GB-COM-RTU-001","4B939FCCAB81A476D9AE30DBA3724B526C593F6CFA582E98568A878D5DFE8752"
"GB-RES-INS-001","58cd3907b8b80c1b.webp","04-residential-work/installations/58cd3907b8b80c1b.webp","residential installation","WebP","765x1020","Google Business photo gallery","https://share.google/6VmLpJkW5oOySqGqF","Displayed '1 week ago' on 2026-08-11 crawl; approx. 2026-08-04","Bryant indoor air-handler/furnace installation with drain and line work","None","Residential","Air-handler/furnace installation","Exact site unknown","Good displayed source; 765x1020","Residential installation page; equipment-install proof; case study","Source file preserved without extension as delivered.","Same equipment/install set as GB-RES-INS-002; different framing, not duplicate","F38716A5DA04EF1560FFF844ADC16B71054E2E2847CD504E5423D33F6AD0E379"
